openclaw-gateway-1  | - plugins.entries.open-prose: plugin open-prose: duplicate plugin id detected; later plugin may be overridden (/app/extensions/open-prose/index.ts)
openclaw-gateway-1  | - plugins.entries.phone-control: plugin phone-control: duplicate plugin id detected; later plugin may be overridden (/app/extensions/phone-control/index.ts)
openclaw-gateway-1  | - plugins.entries.qwen-portal-auth: plugin qwen-portal-auth: duplicate plugin id detected; later plugin may be overridden (/app/extensions/qwen-portal-auth/index.ts)
openclaw-gateway-1  | - plugins.entries.signal: plugin signal: duplicate plugin id detected; later plugin may be overridden (/app/extensions/signal/index.ts)
openclaw-gateway-1  | - plugins.entries.slack: plugin slack: duplicate plugin id detected; later plugin may be overridden (/app/extensions/slack/index.ts)
openclaw-gateway-1  | - plugins.entries.talk-voice: plugin talk-voice: duplicate plugin id detected; later plugin may be overridden (/app/extensions/talk-voice/index.ts)
openclaw-gateway-1  | - plugins.entries.telegram: plugin telegram: duplicate plugin id detected; later plugin may be overridden (/app/extensions/telegram/index.ts)
openclaw-gateway-1  | - plugins.entries.thread-ownership: plugin thread-ownership: duplicate plugin id detected; later plugin may be overridden (/app/extensions/thread-ownership/index.ts)
openclaw-gateway-1  | - plugins.entries.tlon: plugin tlon: duplicate plugin id detected; later plugin may be overridden (/app/extensions/tlon/index.ts)
openclaw-gateway-1  | - plugins.entries.twitch: plugin twitch: duplicate plugin id detected; later plugin may be overridden (/app/extensions/twitch/index.ts)
openclaw-gateway-1  | - plugins.entries.voice-call: plugin voice-call: duplicate plugin id detected; later plugin may be overridden (/app/extensions/voice-call/index.ts)
openclaw-gateway-1  | - plugins.entries.whatsapp: plugin whatsapp: duplicate plugin id detected; later plugin may be overridden (/app/extensions/whatsapp/index.ts)
openclaw-gateway-1  | - plugins.entries.zalo: plugin zalo: duplicate plugin id detected; later plugin may be overridden (/app/extensions/zalo/index.ts)
openclaw-gateway-1  | - plugins.entries.zalouser: plugin zalouser: duplicate plugin id detected; later plugin may be overridden (/app/extensions/zalouser/index.ts)
openclaw-gateway-1  | 11:23:53 Config warnings:\n- plugins.entries.bluebubbles: plugin bluebubbles: duplicate plugin id detected; later plugin may be overridden (/app/extensions/bluebubbles/index.ts)
openclaw-gateway-1  | - plugins.entries.copilot-proxy: plugin copilot-proxy: duplicate plugin id detected; later plugin may be overridden (/app/extensions/copilot-proxy/index.ts)
openclaw-gateway-1  | - plugins.entries.device-pair: plugin device-pair: duplicate plugin id detected; later plugin may be overridden (/app/extensions/device-pair/index.ts)
openclaw-gateway-1  | - plugins.entries.diagnostics-otel: plugin diagnostics-otel: duplicate plugin id detected; later plugin may be overridden (/app/extensions/diagnostics-otel/index.ts)
openclaw-gateway-1  | - plugins.entries.discord: plugin discord: duplicate plugin id detected; later plugin may be overridden (/app/extensions/discord/index.ts)
openclaw-gateway-1  | - plugins.entries.feishu: plugin feishu: duplicate plugin id detected; later plugin may be overridden (/app/extensions/feishu/index.ts)
openclaw-gateway-1  | - plugins.entries.google-antigravity-auth: plugin google-antigravity-auth: duplicate plugin id detected; later plugin may be overridden (/app/extensions/google-antigravity-auth/index.ts)
openclaw-gateway-1  | - plugins.entries.google-gemini-cli-auth: plugin google-gemini-cli-auth: duplicate plugin id detected; later plugin may be overridden (/app/extensions/google-gemini-cli-auth/index.ts)
openclaw-gateway-1  | - plugins.entries.googlechat: plugin googlechat: duplicate plugin id detected; later plugin may be overridden (/app/extensions/googlechat/index.ts)
openclaw-gateway-1  | - plugins.entries.imessage: plugin imessage: duplicate plugin id detected; later plugin may be overridden (/app/extensions/imessage/index.ts)
openclaw-gateway-1  | - plugins.entries.irc: plugin irc: duplicate plugin id detected; later plugin may be overridden (/app/extensions/irc/index.ts)
openclaw-gateway-1  | - plugins.entries.line: plugin line: duplicate plugin id detected; later plugin may be overridden (/app/extensions/line/index.ts)
openclaw-gateway-1  | - plugins.entries.llm-task: plugin llm-task: duplicate plugin id detected; later plugin may be overridden (/app/extensions/llm-task/index.ts)
openclaw-gateway-1  | - plugins.entries.lobster: plugin lobster: duplicate plugin id detected; later plugin may be overridden (/app/extensions/lobster/index.ts)
openclaw-gateway-1  | - plugins.entries.matrix: plugin matrix: duplicate plugin id detected; later plugin may be overridden (/app/extensions/matrix/index.ts)
openclaw-gateway-1  | - plugins.entries.mattermost: plugin mattermost: duplicate plugin id detected; later plugin may be overridden (/app/extensions/mattermost/index.ts)
openclaw-gateway-1  | - plugins.entries.memory-core: plugin memory-core: duplicate plugin id detected; later plugin may be overridden (/app/extensions/memory-core/index.ts)
openclaw-gateway-1  | - plugins.entries.memory-lancedb: plugin memory-lancedb: duplicate plugin id detected; later plugin may be overridden (/app/extensions/memory-lancedb/index.ts)
openclaw-gateway-1  | - plugins.entries.minimax-portal-auth: plugin minimax-portal-auth: duplicate plugin id detected; later plugin may be overridden (/app/extensions/minimax-portal-auth/index.ts)
openclaw-gateway-1  | - plugins.entries.msteams: plugin msteams: duplicate plugin id detected; later plugin may be overridden (/app/extensions/msteams/index.ts)
openclaw-gateway-1  | - plugins.entries.nextcloud-talk: plugin nextcloud-talk: duplicate plugin id detected; later plugin may be overridden (/app/extensions/nextcloud-talk/index.ts)
openclaw-gateway-1  | - plugins.entries.nostr: plugin nostr: duplicate plugin id detected; later plugin may be overridden (/app/extensions/nostr/index.ts)
openclaw-gateway-1  | - plugins.entries.open-prose: plugin open-prose: duplicate plugin id detected; later plugin may be overridden (/app/extensions/open-prose/index.ts)
openclaw-gateway-1  | - plugins.entries.phone-control: plugin phone-control: duplicate plugin id detected; later plugin may be overridden (/app/extensions/phone-control/index.ts)
openclaw-gateway-1  | - plugins.entries.qwen-portal-auth: plugin qwen-portal-auth: duplicate plugin id detected; later plugin may be overridden (/app/extensions/qwen-portal-auth/index.ts)
openclaw-gateway-1  | - plugins.entries.signal: plugin signal: duplicate plugin id detected; later plugin may be overridden (/app/extensions/signal/index.ts)
openclaw-gateway-1  | - plugins.entries.slack: plugin slack: duplicate plugin id detected; later plugin may be overridden (/app/extensions/slack/index.ts)
openclaw-gateway-1  | - plugins.entries.talk-voice: plugin talk-voice: duplicate plugin id detected; later plugin may be overridden (/app/extensions/talk-voice/index.ts)
openclaw-gateway-1  | - plugins.entries.telegram: plugin telegram: duplicate plugin id detected; later plugin may be overridden (/app/extensions/telegram/index.ts)
openclaw-gateway-1  | - plugins.entries.thread-ownership: plugin thread-ownership: duplicate plugin id detected; later plugin may be overridden (/app/extensions/thread-ownership/index.ts)
openclaw-gateway-1  | - plugins.entries.tlon: plugin tlon: duplicate plugin id detected; later plugin may be overridden (/app/extensions/tlon/index.ts)
openclaw-gateway-1  | - plugins.entries.twitch: plugin twitch: duplicate plugin id detected; later plugin may be overridden (/app/extensions/twitch/index.ts)
openclaw-gateway-1  | - plugins.entries.voice-call: plugin voice-call: duplicate plugin id detected; later plugin may be overridden (/app/extensions/voice-call/index.ts)
openclaw-gateway-1  | - plugins.entries.whatsapp: plugin whatsapp: duplicate plugin id detected; later plugin may be overridden (/app/extensions/whatsapp/index.ts)
openclaw-gateway-1  | - plugins.entries.zalo: plugin zalo: duplicate plugin id detected; later plugin may be overridden (/app/extensions/zalo/index.ts)
openclaw-gateway-1  | - plugins.entries.zalouser: plugin zalouser: duplicate plugin id detected; later plugin may be overridden (/app/extensions/zalouser/index.ts)
